Net Status Report
Filename     : C:\Users\Abdurrahman\Desktop\DONANIM-faz2\MAINBOARD(FAZ2)\MAINBOARD_PCB.PcbDoc
Date         : 28.03.2025
Time         : 20:50:56
Time Elapsed : 00:00:00

Nets, Layer, Length
    NetJ26_6, Signal Layers Only, 4.3323mm
    NetJ27_1, Signal Layers Only, 4.7458mm
    NetJ27_3, Signal Layers Only, 295.9898mm
    NetJ27_4, Signal Layers Only, 4.3323mm
    NetJ27_5, Signal Layers Only, 291.1295mm
    NetJ27_6, Signal Layers Only, 4.3323mm
    NetJ2_1, Signal Layers Only, 3.0722mm
    NetJ2_3, Signal Layers Only, 167.6047mm
    NetJ2_4, Signal Layers Only, 4.3323mm
    NetJ2_5, Signal Layers Only, 193.8016mm
    NetJ2_6, Signal Layers Only, 4.3323mm
    NetJ3_1, Signal Layers Only, 4.6323mm
    NetJ3_3, Signal Layers Only, 26.5944mm
    NetJ3_4, Signal Layers Only, 4.3323mm
    NetJ3_5, Signal Layers Only, 152.0276mm
    NetJ3_6, Signal Layers Only, 4.3323mm
    NetJ4_1, Signal Layers Only, 3.0722mm
    NetJ4_3, Signal Layers Only, 134.8636mm
    NetJ4_4, Signal Layers Only, 2.9222mm
    NetJ4_5, Signal Layers Only, 135.7801mm
    NetJ4_6, Signal Layers Only, 2.9222mm
    NetJ5_1, Signal Layers Only, 4.6323mm
    NetJ5_3, Signal Layers Only, 134.6953mm
    NetJ5_4, Signal Layers Only, 3.1539mm
    NetJ5_5, Signal Layers Only, 136.2683mm
    NetJ5_6, Signal Layers Only, 4.3323mm
    NetJ6_1, Signal Layers Only, 3.0722mm
    NetJ6_3, Signal Layers Only, 4.041mm
    NetJ6_4, Signal Layers Only, 4.3323mm
    NetJ6_5, Signal Layers Only, 6.0344mm
    NetJ6_6, Signal Layers Only, 4.3323mm
    NetJ7_1, Signal Layers Only, 4.6323mm
    NetJ7_3, Signal Layers Only, 7.1671mm
    NetJ7_4, Signal Layers Only, 4.3323mm
    NetJ7_5, Signal Layers Only, 6.4933mm
    NetJ7_6, Signal Layers Only, 4.3323mm
    NetJ8_1, Signal Layers Only, 3.1379mm
    NetJ8_3, Signal Layers Only, 43.9308mm
    NetJ8_4, Signal Layers Only, 0mm
    NetJ8_5, Signal Layers Only, 50.377mm
    NetJ8_6, Signal Layers Only, 3.2763mm
    NetJ9_1, Signal Layers Only, 3.0722mm
    NetJ9_3, Signal Layers Only, 33.9539mm
    NetJ9_4, Signal Layers Only, 4.3323mm
    NetJ9_5, Signal Layers Only, 32.4733mm
    NetJ9_6, Signal Layers Only, 4.3323mm
    NetJ_BOS_2, Signal Layers Only, 318.4695mm
    NetJ_BOS_3, Signal Layers Only, 302.3928mm
    NetJ_EXTRA_2, Signal Layers Only, 327.35mm
    NetJ_EXTRA_3, Signal Layers Only, 344.3058mm
    NetJ_EXTRA_4, Signal Layers Only, 326.5087mm
    NetLED10_1, Signal Layers Only, 25.0952mm
    NetLED11_1, Signal Layers Only, 35.6322mm
    NetLED12_1, Signal Layers Only, 25.5489mm
    NetLED13_1, Signal Layers Only, 24.9802mm
    NetLED14_1, Signal Layers Only, 25.6281mm
    NetLED15_1, Signal Layers Only, 24.5952mm
    NetLED16_1, Signal Layers Only, 24.9802mm
    NetLED17_1, Signal Layers Only, 24.9802mm
    NetLED18_1, Signal Layers Only, 24.9802mm
    NetLED19_1, Signal Layers Only, 38.7646mm
    NetLED1_1, Signal Layers Only, 24.8164mm
    NetLED1_3, Signal Layers Only, 9.3552mm
    NetLED20_1, Signal Layers Only, 38.8179mm
    NetLED21_1, Signal Layers Only, 39.6935mm
    NetLED22_1, Signal Layers Only, 39.0764mm
    NetLED23_1, Signal Layers Only, 36.2494mm
    NetLED24_1, Signal Layers Only, 23.509mm
    NetLED25_1, Signal Layers Only, 26.9336mm
    NetLED26_1, Signal Layers Only, 26.3663mm
    NetLED27_1, Signal Layers Only, 243.9281mm
    NetLED28_1, Signal Layers Only, 3.5071mm
    NetLED2_1, Signal Layers Only, 24.9802mm
    NetLED3_1, Signal Layers Only, 24.9802mm
    NetLED4_1, Signal Layers Only, 23.5381mm
    NetLED5_1, Signal Layers Only, 27.5832mm
    NetLED6_1, Signal Layers Only, 24.9802mm
    NetLED7_1, Signal Layers Only, 35.1773mm
    NetLED8_1, Signal Layers Only, 35.1773mm
    NetLED9_1, Signal Layers Only, 35.1773mm
    NetQ10_1, Signal Layers Only, 2.7963mm
    NetQ11_1, Signal Layers Only, 2.7445mm
    NetQ12_1, Signal Layers Only, 2.7653mm
    NetQ13_1, Signal Layers Only, 2.786mm
    NetQ14_1, Signal Layers Only, 2.7756mm
    NetQ15_1, Signal Layers Only, 2.8064mm
    NetQ16_1, Signal Layers Only, 2.6639mm
    NetQ17_1, Signal Layers Only, 2.7549mm
    NetQ18_1, Signal Layers Only, 2.7756mm
    NetQ19_1, Signal Layers Only, 2.786mm
    NetQ1_1, Signal Layers Only, 2.8006mm
    NetQ20_1, Signal Layers Only, 2.8895mm
    NetQ21_1, Signal Layers Only, 2.7445mm
    NetQ22_1, Signal Layers Only, 2.7549mm
    NetQ23_1, Signal Layers Only, 2.7963mm
    NetQ24_1, Signal Layers Only, 2.7653mm
    NetQ25_1, Signal Layers Only, 2.7653mm
    NetQ26_1, Signal Layers Only, 2.8006mm
    NetQ27_1, Signal Layers Only, 2.7963mm
    NetQ28_1, Signal Layers Only, 1.9939mm
    NetQ28_3, Signal Layers Only, 0mm
    NetQ2_1, Signal Layers Only, 2.8213mm
    NetQ3_1, Signal Layers Only, 2.7238mm
    NetQ4_1, Signal Layers Only, 2.7695mm
    NetQ5_1, Signal Layers Only, 2.811mm
    NetQ6_1, Signal Layers Only, 2.7756mm
    NetQ7_1, Signal Layers Only, 2.811mm
    NetQ8_1, Signal Layers Only, 2.7756mm
    NetQ9_1, Signal Layers Only, 2.8377mm
    NetR100_2, Signal Layers Only, 20.6158mm
    NetR102_2, Signal Layers Only, 14.9041mm
    NetR104_2, Signal Layers Only, 25.1999mm
    NetR106_2, Signal Layers Only, 232.5391mm
    NetR107_2, Signal Layers Only, 257.1745mm
    NetR108_2, Signal Layers Only, 303.1506mm
    NetR10_2, Signal Layers Only, 60.084mm
    NetR11_2, Signal Layers Only, 207.5856mm
    NetR12_2, Signal Layers Only, 158.0932mm
    NetR13_2, Signal Layers Only, 9.7225mm
    NetR146_2, Signal Layers Only, 4.1372mm
    NetR147_1, Signal Layers Only, 1.8104mm
    NetR147_2, Signal Layers Only, 259.1804mm
    NetR148_1, Signal Layers Only, 1.8607mm
    NetR148_2, Signal Layers Only, 336.551mm
    NetR149_2, Signal Layers Only, 266.3402mm
    NetR14_2, Signal Layers Only, 20.4858mm
    NetR156_1, Signal Layers Only, 4.3145mm
    NetR158_2, Signal Layers Only, 112.557mm
    NetR15_2, Signal Layers Only, 61.699mm
    NetR168_2, Signal Layers Only, 69.3779mm
    NetR16_2, Signal Layers Only, 11.123mm
    NetR18_2, Signal Layers Only, 22.9183mm
    NetR1_2, Signal Layers Only, 76.7794mm
    NetR20_2, Signal Layers Only, 52.2239mm
    NetR22_2, Signal Layers Only, 135.5609mm
    NetR23_2, Signal Layers Only, 117.452mm
    NetR24_2, Signal Layers Only, 91.8128mm
    NetR25_2, Signal Layers Only, 75.0321mm
    NetR26_2, Signal Layers Only, 75.3354mm
    NetR27_2, Signal Layers Only, 33.8895mm
    NetR28_2, Signal Layers Only, 60.2181mm
    NetR2_2, Signal Layers Only, 41.6349mm
    NetR30_2, Signal Layers Only, 84.5666mm
    NetR32_2, Signal Layers Only, 32.4608mm
    NetR34_2, Signal Layers Only, 78.6749mm
    NetR35_2, Signal Layers Only, 56.7909mm
    NetR36_2, Signal Layers Only, 37.1961mm
    NetR37_2, Signal Layers Only, 60.3752mm
    NetR38_2, Signal Layers Only, 5.3042mm
    NetR39_2, Signal Layers Only, 99.1927mm
    NetR3_2, Signal Layers Only, 21.6914mm
    NetR40_2, Signal Layers Only, 47.7922mm
    NetR42_2, Signal Layers Only, 63.3036mm
    NetR44_2, Signal Layers Only, 93.6961mm
    NetR46_2, Signal Layers Only, 16.7892mm
    NetR47_2, Signal Layers Only, 27.8737mm
    NetR48_2, Signal Layers Only, 36.3396mm
    NetR49_2, Signal Layers Only, 5.2286mm
    NetR4_2, Signal Layers Only, 56.7091mm
    NetR50_2, Signal Layers Only, 5.7264mm
    NetR51_2, Signal Layers Only, 12.5038mm
    NetR52_2, Signal Layers Only, 24.316mm
    NetR54_2, Signal Layers Only, 127.3246mm
    NetR56_2, Signal Layers Only, 7.9956mm
    NetR58_2, Signal Layers Only, 49.9203mm
    NetR59_2, Signal Layers Only, 48.0568mm
    NetR60_2, Signal Layers Only, 79.6599mm
    NetR61_2, Signal Layers Only, 8.5348mm
    NetR62_2, Signal Layers Only, 33.9065mm
    NetR63_2, Signal Layers Only, 17.2153mm
    NetR64_2, Signal Layers Only, 120.1865mm
    NetR66_2, Signal Layers Only, 33.8732mm
    NetR68_2, Signal Layers Only, 22.5294mm
    NetR6_2, Signal Layers Only, 37.1145mm
    NetR70_2, Signal Layers Only, 135.8891mm
    NetR71_2, Signal Layers Only, 115.923mm
    NetR72_2, Signal Layers Only, 128.3101mm
    NetR73_2, Signal Layers Only, 8.1408mm
    NetR74_2, Signal Layers Only, 26.0778mm
    NetR75_2, Signal Layers Only, 42.4643mm
    NetR76_2, Signal Layers Only, 12.5204mm
    NetR78_2, Signal Layers Only, 31.8063mm
    NetR80_2, Signal Layers Only, 41.7651mm
    NetR82_2, Signal Layers Only, 136.0988mm
    NetR83_2, Signal Layers Only, 157.7865mm
    NetR84_2, Signal Layers Only, 167.2189mm
    NetR85_2, Signal Layers Only, 56.0364mm
    NetR86_2, Signal Layers Only, 75.9854mm
    NetR87_2, Signal Layers Only, 98.7813mm
    NetR88_2, Signal Layers Only, 62.5496mm
    NetR8_2, Signal Layers Only, 17.0032mm
    NetR90_2, Signal Layers Only, 76.1233mm
    NetR92_2, Signal Layers Only, 103.1639mm
    NetR94_2, Signal Layers Only, 198.3524mm
    NetR95_2, Signal Layers Only, 209.6031mm
    NetR96_2, Signal Layers Only, 229.6933mm
    NetR97_2, Signal Layers Only, 23.9308mm
    NetR98_2, Signal Layers Only, 12.1065mm
    NetR99_2, Signal Layers Only, 25.3557mm
    NetU1_3, Signal Layers Only, 138.7264mm
    NetU2_3, Signal Layers Only, 55.6189mm
    NetU3_3, Signal Layers Only, 128.6393mm
    NetU4_3, Signal Layers Only, 260.0123mm
    NetU6_1, Signal Layers Only, 2.54mm
    OSC_IN, Signal Layers Only, 7.3066mm
    OSC_OUT, Signal Layers Only, 6.9799mm
    RS485_N, Signal Layers Only, 80.3385mm
    RS485_P, Signal Layers Only, 73.4284mm
    TCA1_A0, Signal Layers Only, 5.5065mm
    TCA1_A1, Signal Layers Only, 8.0006mm
    TCA1_A2, Signal Layers Only, 9.9307mm
    TCA2_A0, Signal Layers Only, 5.7674mm
    TCA2_A1, Signal Layers Only, 8.2866mm
    TCA2_A2, Signal Layers Only, 10.2171mm
    TCA3_A0, Signal Layers Only, 5.9345mm
    TCA3_A1, Signal Layers Only, 8.3117mm
    TCA3_A2, Signal Layers Only, 10.2922mm
    TCA4_A0, Signal Layers Only, 5.5846mm
    TCA4_A1, Signal Layers Only, 8.1038mm
    TCA4_A2, Signal Layers Only, 9.9343mm
    VCAP, Signal Layers Only, 3.4788mm
    VDD_MCU, Signal Layers Only, 63.8268mm
count : 339
